epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,56.3958,5.05463,7.66633,3.48586,0,0.06624,0.14119,0.02654,0.00633,3.2213,3.50062,2.32012,0,0.0684827,0.00165881,0.00165881,0.000165881
2,86.4921,2.57101,2.46663,1.64577,0,0.30593,0.2431,0.17157,0.06081,2.37232,2.411,1.61031,0,0.0368158,0.00332527,0.00332527,0.000332527
3,114.971,2.19499,2.1234,1.38251,0,0.34986,0.21125,0.19987,0.06915,2.2123,2.41684,1.45453,0,0.00514815,0.00499092,0.00499092,0.000499092
4,145.244,2.01314,1.92156,1.28309,0,0.47714,0.3758,0.33639,0.11942,2.28268,2.10051,1.54105,0,0.00499725,0.00499725,0.00499725,0.000499725
5,174.651,1.89696,1.7479,1.23187,0,0.38948,0.30679,0.25927,0.09826,2.25564,2.20477,1.46884,0,0.00499512,0.00499512,0.00499512,0.000499512
6,205.686,1.83127,1.65243,1.20899,0,0.58036,0.44161,0.4697,0.19544,2.00942,1.77933,1.36086,0,0.00499237,0.00499237,0.00499237,0.000499237
7,234.81,1.79145,1.56839,1.18763,0,0.4892,0.44586,0.40815,0.15593,2.17216,2.02966,1.45523,0,0.00498902,0.00498902,0.00498902,0.000498902
8,263.51,1.76805,1.51665,1.17372,0,0.55833,0.49682,0.47971,0.18858,1.99753,2.21046,1.34925,0,0.00498505,0.00498505,0.00498505,0.000498505
9,292.937,1.71371,1.46026,1.15653,0,0.60461,0.49836,0.50121,0.20885,2.01844,1.73996,1.36464,0,0.00498048,0.00498048,0.00498048,0.000498048
10,323.538,1.69022,1.40619,1.15532,0,0.60817,0.53551,0.53158,0.21455,1.98286,1.58338,1.34644,0,0.00497531,0.00497531,0.00497531,0.000497531
11,352.462,1.66687,1.3549,1.14452,0,0.64164,0.50849,0.53102,0.22278,1.93289,1.55508,1.33937,0,0.00496953,0.00496953,0.00496953,0.000496953
12,380.916,1.68062,1.34503,1.14868,0,0.60714,0.52499,0.5489,0.23578,1.96811,1.62785,1.34847,0,0.00496315,0.00496315,0.00496315,0.000496315
