                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.5371,                 2.2957,                  1.836,                0.28164,                0.17486,                0.15465,                0.05108,                 2.7267,                 2.6749,                 2.1353,              0.0046749,              0.0046749,              0.0046749
                     36,                 2.4766,                  2.234,                 1.8093,                0.42245,                0.21858,                0.21968,                0.07871,                 2.6817,                 2.5364,                 2.0471,              0.0046553,              0.0046553,              0.0046553
                     37,                  2.512,                 2.3177,                 1.8054,                0.43881,                0.23497,                0.21985,                0.07305,                 2.7098,                 2.4153,                 2.1011,              0.0046353,              0.0046353,              0.0046353
                     38,                 2.4906,                 2.2945,                 1.8263,                0.35681,                0.21221,                0.19398,                0.07119,                 2.6798,                 2.5719,                 2.0874,              0.0046147,              0.0046147,              0.0046147
                     39,                 2.5006,                 2.2574,                 1.8033,                0.34323,                0.19672,                0.19078,                 0.0645,                 2.7763,                 2.5284,                 2.1389,              0.0045936,              0.0045936,              0.0045936
                     40,                 2.3923,                 2.2023,                 1.7431,                0.44552,                0.22393,                0.17802,                0.05753,                 2.6699,                 2.7576,                 2.0558,               0.004572,               0.004572,               0.004572
                     41,                 2.4323,                 2.2274,                 1.7707,                0.23009,                0.17486,                0.09187,                 0.0309,                 2.6871,                 3.0934,                 2.1017,              0.0045499,              0.0045499,              0.0045499
                     42,                 2.4545,                 2.2641,                 1.7688,                0.27775,                0.16393,                0.15082,                0.05771,                 2.7155,                 2.8475,                 2.0589,              0.0045273,              0.0045273,              0.0045273
                     43,                 2.3597,                 2.1063,                 1.7294,                0.40975,                0.22951,                0.21729,                0.07791,                 2.5066,                 2.3587,                 1.9564,              0.0045042,              0.0045042,              0.0045042
                     44,                  2.396,                 2.1485,                 1.7382,                0.36204,                 0.2459,                0.24387,                0.08869,                 2.6946,                  2.572,                 2.1014,              0.0044806,              0.0044806,              0.0044806
                     45,                 2.3679,                 2.1156,                 1.7416,                0.73383,                0.24044,                0.31804,                0.10403,                 2.6479,                 2.2675,                 2.0449,              0.0044566,              0.0044566,              0.0044566
                     46,                 2.4269,                 2.2136,                 1.7787,                 0.4847,                0.27322,                0.29924,                0.11651,                 2.6894,                 2.2472,                 2.1233,               0.004432,               0.004432,               0.004432
                     47,                 2.3337,                 2.1109,                 1.7324,                0.60634,                0.25683,                0.29088,                0.11101,                 2.4758,                 2.4675,                  1.995,               0.004407,               0.004407,               0.004407
                     48,                 2.3173,                 2.0202,                 1.6786,                0.51057,                0.26776,                0.28315,                0.09534,                 2.6517,                  2.384,                 2.1234,              0.0043815,              0.0043815,              0.0043815
                     49,                 2.3269,                 2.0689,                 1.6973,                0.25658,                0.20765,                0.16753,                0.05905,                 2.7418,                 2.6881,                 2.1371,              0.0043556,              0.0043556,              0.0043556
                     50,                   2.25,                 1.9761,                 1.6803,                0.13081,                0.11475,                0.04709,                0.01114,                  3.244,                 3.2474,                 2.4611,              0.0043292,              0.0043292,              0.0043292
                     51,                 2.2829,                 2.0061,                 1.6993,                0.36435,                0.19734,                0.17899,                0.06525,                 2.7436,                  2.514,                 2.1093,              0.0043024,              0.0043024,              0.0043024
                     52,                 2.2265,                 1.9968,                 1.6994,                0.43853,                0.26463,                0.22882,                0.08455,                 2.5781,                 2.3779,                 2.0243,              0.0042751,              0.0042751,              0.0042751
                     53,                 2.3184,                 2.0044,                 1.7001,                0.43902,                0.21858,                0.22209,                 0.0776,                 2.5202,                 2.3865,                 1.9714,              0.0042474,              0.0042474,              0.0042474
                     54,                 2.2432,                  1.919,                 1.6634,                0.19183,                0.25683,                0.10945,                0.03554,                 2.6403,                 4.1869,                 2.0994,              0.0042193,              0.0042193,              0.0042193
                     55,                 2.2321,                 2.0009,                 1.6741,                0.44457,                0.25683,                0.25463,                0.09034,                 2.6728,                 2.2814,                 2.0601,              0.0041907,              0.0041907,              0.0041907
                     56,                 2.2869,                 1.9882,                 1.6681,                0.33633,                0.20219,                0.16565,                0.06229,                 2.8811,                 2.5977,                 2.1722,              0.0041617,              0.0041617,              0.0041617
