epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
37,330.69,2.94466,2.96623,2.12795,0.03963,0.17215,0.06557,0.04989,0.01458,3.17793,3.30616,2.47376,0,0.00461471,0.00461471,0.00461471,0.000461471
38,336.702,3.06407,2.96218,2.09192,0.03962,0.16699,0.09836,0.04984,0.01316,3.09589,3.27312,2.29057,0,0.00459362,0.00459362,0.00459362,0.000459362
39,343.827,2.98227,3.01588,2.12855,0.03931,0.17775,0.0765,0.0608,0.01607,2.97243,3.17306,2.24884,0,0.00457202,0.00457202,0.00457202,0.000457202
40,349.846,2.97692,2.9707,2.07375,0.03923,0.14165,0.12022,0.06943,0.01951,2.95093,3.12092,2.22791,0,0.00454992,0.00454992,0.00454992,0.000454992
41,356.273,2.94311,2.98046,2.13529,0.03898,0.16646,0.13115,0.06517,0.02096,2.93284,3.12636,2.26857,0,0.00452732,0.00452732,0.00452732,0.000452732
42,363.503,2.9705,2.98805,2.14706,0.03887,0.19495,0.08197,0.05473,0.02033,2.91804,3.10397,2.25557,0,0.00450422,0.00450422,0.00450422,0.000450422
43,369.364,2.88168,2.96126,2.1171,0.03869,0.21677,0.14208,0.09823,0.03112,2.82306,3.02514,2.2172,0,0.00448063,0.00448063,0.00448063,0.000448063
44,375.634,2.82894,2.84683,2.075,0.03854,0.20237,0.10929,0.07717,0.02752,2.84923,2.99488,2.22386,0,0.00445657,0.00445657,0.00445657,0.000445657
45,381.798,2.89341,2.87352,2.09307,0.03838,0.23566,0.14208,0.10401,0.03504,2.9448,3.01813,2.22732,0,0.00443202,0.00443202,0.00443202,0.000443202
46,387.14,2.85206,2.86707,2.07683,0.03818,0.19833,0.10929,0.07418,0.02341,3.05286,3.21479,2.29065,0,0.004407,0.004407,0.004407,0.0004407
47,392.253,2.88926,2.92194,2.11551,0.03803,0.22927,0.13115,0.09563,0.0288,2.9048,2.99644,2.21833,0,0.00438152,0.00438152,0.00438152,0.000438152
48,397.784,2.81755,2.8053,2.03662,0.03793,0.2267,0.11475,0.08109,0.02565,3.0354,3.08079,2.32796,0,0.00435559,0.00435559,0.00435559,0.000435559
49,403.18,2.85625,2.8275,2.05891,0.03768,0.26292,0.12022,0.11061,0.03487,3.01999,2.92919,2.26467,0,0.0043292,0.0043292,0.0043292,0.00043292
50,408.806,2.79173,2.78978,2.02979,0.03743,0.31923,0.10383,0.10733,0.03551,2.80318,2.87059,2.20689,0,0.00430236,0.00430236,0.00430236,0.000430236
51,414.142,2.80664,2.82761,2.0539,0.03725,0.27033,0.12568,0.12904,0.03845,2.74053,2.84272,2.21292,0,0.00427509,0.00427509,0.00427509,0.000427509
52,420.52,2.78235,2.81092,2.02402,0.03583,0.2232,0.11475,0.08996,0.02808,2.83828,3.17891,2.25602,0,0.00424738,0.00424738,0.00424738,0.000424738
53,425.898,2.81783,2.77164,2.03541,0.03561,0.25551,0.12568,0.1185,0.0422,2.8665,2.9263,2.23645,0,0.00421925,0.00421925,0.00421925,0.000421925
