epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
39,137.481,2.99941,2.98914,2.18301,0,0.24991,0.12022,0.11281,0.03375,2.98047,3.12175,2.26849,0,0.00457202,0.00457202,0.00457202,0.000457202
40,140.263,3.00324,2.95068,2.10584,0,0.29794,0.12022,0.09369,0.02848,2.90588,3.1583,2.28223,0,0.00454992,0.00454992,0.00454992,0.000454992
41,144.052,2.95097,2.93893,2.16057,0,0.22023,0.15301,0.10542,0.03441,2.8678,3.23606,2.29384,0,0.00452732,0.00452732,0.00452732,0.000452732
42,147.046,2.97584,2.97703,2.16628,0,0.22265,0.12209,0.11566,0.03265,2.98703,3.12795,2.34401,0,0.00450422,0.00450422,0.00450422,0.000450422
43,149.972,2.902,2.88128,2.0987,0,0.36451,0.13793,0.11621,0.03264,2.89723,3.1546,2.31752,0,0.00448063,0.00448063,0.00448063,0.000448063
44,152.902,2.8574,2.78044,2.07693,0,0.33694,0.14208,0.09696,0.02908,2.93916,3.019,2.23501,0,0.00445657,0.00445657,0.00445657,0.000445657
45,155.848,2.89705,2.83515,2.0976,0,0.30251,0.12022,0.10931,0.03335,2.84991,2.98222,2.17659,0,0.00443202,0.00443202,0.00443202,0.000443202
46,158.641,2.85357,2.82216,2.04892,0,0.24558,0.16393,0.11869,0.03253,2.89569,2.96616,2.21936,0,0.004407,0.004407,0.004407,0.0004407
47,161.511,2.92787,2.82856,2.1343,0,0.26942,0.10383,0.08684,0.02602,3.02559,3.10711,2.38238,0,0.00438152,0.00438152,0.00438152,0.000438152
48,164.299,2.8205,2.70899,2.05329,0,0.24111,0.12022,0.07964,0.01901,3.09431,3.08208,2.39688,0,0.00435559,0.00435559,0.00435559,0.000435559
49,166.787,2.88048,2.76655,2.08156,0,0.24932,0.14754,0.11945,0.03596,2.94333,2.88952,2.24423,0,0.0043292,0.0043292,0.0043292,0.00043292
50,170.023,2.81625,2.72727,2.06611,0,0.3101,0.14208,0.12136,0.03682,2.89368,3.02717,2.22899,0,0.00430236,0.00430236,0.00430236,0.000430236
51,174.043,2.80788,2.7947,2.05534,0,0.32152,0.15847,0.11713,0.03501,2.86941,3.12573,2.22053,0,0.00427509,0.00427509,0.00427509,0.000427509
52,177.293,2.72977,2.75661,1.98498,0,0.33157,0.14754,0.13337,0.04144,2.81678,2.8738,2.18547,0,0.00424738,0.00424738,0.00424738,0.000424738
53,180.228,2.78883,2.69328,2.01267,0,0.34939,0.15301,0.14253,0.04707,2.84908,2.82055,2.18915,0,0.00421925,0.00421925,0.00421925,0.000421925
54,183.152,2.81567,2.72321,1.97727,0,0.31178,0.13115,0.12436,0.04012,2.79272,2.81986,2.1808,0,0.00419071,0.00419071,0.00419071,0.000419071
55,186.007,2.81917,2.77716,2.0665,0,0.4407,0.13115,0.14257,0.04684,2.83816,2.84982,2.15552,0,0.00416175,0.00416175,0.00416175,0.000416175
56,188.828,2.77552,2.63894,2.00688,0,0.2764,0.16699,0.13593,0.03323,2.8954,3.12019,2.2174,0,0.00413238,0.00413238,0.00413238,0.000413238
57,191.805,2.77544,2.65288,1.99072,0,0.36706,0.13661,0.13373,0.03861,2.92344,2.91632,2.19376,0,0.00410262,0.00410262,0.00410262,0.000410262
58,194.618,2.75182,2.60617,1.93726,0,0.3605,0.16636,0.16336,0.04809,2.74397,2.77977,2.11174,0,0.00407248,0.00407248,0.00407248,0.000407248
59,197.453,2.73168,2.58012,1.97733,0,0.2425,0.1694,0.1374,0.04383,2.80684,2.75058,2.12301,0,0.00404194,0.00404194,0.00404194,0.000404194
60,200.259,2.79883,2.63829,2.02753,0,0.39643,0.13115,0.16349,0.05223,2.79802,2.67997,2.13136,0,0.00401104,0.00401104,0.00401104,0.000401104
61,203.639,2.72555,2.58208,1.96005,0,0.31868,0.16393,0.13568,0.04851,2.77127,2.66779,2.10631,0,0.00397977,0.00397977,0.00397977,0.000397977
62,206.626,2.73545,2.57819,1.95927,0,0.3382,0.1694,0.16155,0.05413,2.75188,2.66452,2.10921,0,0.00394814,0.00394814,0.00394814,0.000394814
