               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.087247,            0.013321,                   0,           0.0021759,             0.51366,            0.011468,           0.0028767,            0.092337,            0.010254,                   0,           0.0041338,           0.0041338,           0.0041338
                  37,            0.086396,            0.013217,                   0,             0.12901,            0.098361,            0.034664,           0.0096066,              0.0786,            0.011888,                   0,            0.004109,            0.004109,            0.004109
                  38,            0.085853,            0.014344,                   0,             0.19789,            0.087432,            0.050411,            0.012922,            0.079204,            0.011321,                   0,           0.0040843,           0.0040843,           0.0040843
                  39,            0.085158,            0.014631,                   0,             0.22945,             0.10383,            0.076948,             0.01865,            0.078935,            0.010942,                   0,           0.0040595,           0.0040595,           0.0040595
                  40,            0.085143,            0.013641,                   0,             0.22492,            0.065574,            0.054643,            0.012082,            0.082069,            0.010411,                   0,           0.0040348,           0.0040348,           0.0040348
                  41,            0.085064,            0.014014,                   0,             0.28772,             0.13115,            0.083666,             0.01873,            0.078929,            0.010496,                   0,             0.00401,             0.00401,             0.00401
                  42,            0.085012,            0.013829,                   0,            0.029702,             0.10383,            0.010738,           0.0026755,            0.081854,             0.01157,                   0,           0.0039853,           0.0039853,           0.0039853
                  43,            0.084373,            0.013552,                   0,             0.19497,            0.087432,            0.059197,            0.019318,            0.078876,            0.010998,                   0,           0.0039605,           0.0039605,           0.0039605
                  44,            0.084688,            0.012734,                   0,             0.14265,            0.071038,            0.032766,           0.0080221,            0.079061,            0.010952,                   0,           0.0039358,           0.0039358,           0.0039358
                  45,            0.084378,            0.013756,                   0,             0.12937,            0.098361,            0.040141,            0.011142,            0.077615,             0.01128,                   0,            0.003911,            0.003911,            0.003911
                  46,            0.084258,            0.013731,                   0,             0.20263,             0.16393,            0.079328,            0.017328,            0.075739,            0.012051,                   0,           0.0038862,           0.0038862,           0.0038862
                  47,            0.082983,             0.01371,                   0,            0.063619,             0.04918,              0.0183,           0.0039229,            0.081102,            0.012148,                   0,           0.0038615,           0.0038615,           0.0038615
                  48,            0.083669,            0.013931,                   0,            0.056341,            0.092896,             0.02401,           0.0058106,            0.079841,            0.012178,                   0,           0.0038367,           0.0038367,           0.0038367
                  49,            0.082504,              0.0129,                   0,             0.21229,             0.15847,            0.079128,            0.021714,            0.077442,            0.010994,                   0,            0.003812,            0.003812,            0.003812
                  50,             0.08153,            0.013519,                   0,             0.14157,             0.12022,            0.052714,            0.012884,            0.077347,            0.011666,                   0,           0.0037872,           0.0037872,           0.0037872
                  51,            0.083423,            0.013336,                   0,             0.23117,            0.087432,            0.046782,            0.015647,            0.085099,            0.010265,                   0,           0.0037625,           0.0037625,           0.0037625
                  52,            0.082388,            0.012931,                   0,             0.23303,             0.15847,              0.1031,            0.026695,            0.074852,             0.01098,                   0,           0.0037378,           0.0037378,           0.0037378
                  53,            0.081278,            0.013087,                   0,             0.18032,             0.14426,            0.064434,            0.019636,            0.075054,            0.011703,                   0,            0.003713,            0.003713,            0.003713
                  54,            0.080204,             0.01356,                   0,             0.12482,             0.10383,            0.037559,           0.0099303,            0.078213,            0.014933,                   0,           0.0036883,           0.0036883,           0.0036883
                  55,            0.080043,            0.013501,                   0,             0.20867,             0.15847,             0.10813,              0.0292,             0.07652,            0.011783,                   0,           0.0036635,           0.0036635,           0.0036635
                  56,            0.080682,            0.013219,                   0,            0.082275,            0.054645,            0.034908,           0.0086325,            0.081255,            0.011435,                   0,           0.0036388,           0.0036388,           0.0036388
                  57,            0.080645,            0.012771,                   0,             0.21245,             0.10383,            0.076051,            0.015842,            0.077556,            0.011209,                   0,            0.003614,            0.003614,            0.003614
                  58,            0.081036,            0.013519,                   0,             0.21334,             0.15301,              0.1061,            0.026825,            0.073014,             0.01066,                   0,           0.0035893,           0.0035893,           0.0035893
                  59,            0.080673,            0.013395,                   0,             0.21282,             0.13661,            0.092124,            0.027928,            0.073777,            0.010847,                   0,           0.0035645,           0.0035645,           0.0035645
                  60,             0.08096,            0.013466,                   0,             0.23702,            0.092896,            0.074455,            0.015879,            0.080342,            0.010076,                   0,           0.0035398,           0.0035398,           0.0035398
                  61,             0.07941,            0.013155,                   0,             0.27795,              0.1694,             0.13346,            0.041908,            0.073748,            0.011018,                   0,            0.003515,            0.003515,            0.003515
                  62,            0.077542,             0.01306,                   0,             0.16848,             0.12568,            0.077822,             0.02361,             0.07446,            0.011734,                   0,           0.0034903,           0.0034903,           0.0034903
                  63,            0.077666,            0.013263,                   0,             0.20963,            0.076503,            0.051088,             0.01109,             0.07898,            0.011043,                   0,           0.0034655,           0.0034655,           0.0034655
                  64,            0.078108,            0.013189,                   0,            0.088505,            0.081967,            0.030659,           0.0084156,            0.076688,            0.011244,                   0,           0.0034408,           0.0034408,           0.0034408
                  65,            0.076995,            0.012967,                   0,             0.24366,             0.19126,             0.13972,            0.039204,             0.07222,            0.010467,                   0,            0.003416,            0.003416,            0.003416
                  66,            0.077922,            0.012194,                   0,             0.32488,             0.13661,             0.12617,            0.039904,            0.073678,            0.010163,                   0,           0.0033913,           0.0033913,           0.0033913
                  67,             0.07799,            0.013405,                   0,             0.32405,             0.12568,              0.1146,            0.037501,            0.077263,            0.010136,                   0,           0.0033665,           0.0033665,           0.0033665
                  68,            0.077786,            0.013177,                   0,              0.1694,             0.10383,            0.080157,            0.020984,            0.078591,            0.010606,                   0,           0.0033418,           0.0033418,           0.0033418
                  69,            0.076164,            0.013118,                   0,             0.18525,             0.13115,            0.083719,            0.019395,            0.077926,            0.010897,                   0,            0.003317,            0.003317,            0.003317
                  70,            0.077936,            0.012802,                   0,             0.18742,            0.060109,             0.03064,           0.0075728,            0.081467,            0.010725,                   0,           0.0032923,           0.0032923,           0.0032923
                  71,            0.077464,            0.012331,                   0,             0.29247,             0.20765,             0.13733,            0.037187,            0.072781,            0.010328,                   0,           0.0032675,           0.0032675,           0.0032675
                  72,             0.07663,            0.012263,                   0,             0.19231,             0.22951,             0.10017,            0.027657,            0.072035,            0.010774,                   0,           0.0032428,           0.0032428,           0.0032428
                  73,            0.076938,            0.012872,                   0,             0.37538,             0.24044,             0.18314,            0.056094,            0.071915,           0.0099063,                   0,            0.003218,            0.003218,            0.003218
                  74,             0.07399,            0.012399,                   0,             0.26232,             0.18579,             0.15244,            0.043917,            0.073859,            0.010175,                   0,           0.0031933,           0.0031933,           0.0031933
                  75,            0.076473,            0.012737,                   0,             0.28348,             0.17945,             0.12986,            0.041184,            0.074605,            0.010086,                   0,           0.0031685,           0.0031685,           0.0031685
                  76,            0.073673,            0.012488,                   0,             0.27331,             0.15847,             0.13532,            0.038648,            0.070673,            0.010197,                   0,           0.0031438,           0.0031438,           0.0031438
                  77,            0.075201,            0.012416,                   0,             0.26082,             0.24044,              0.1572,            0.045536,            0.069081,            0.010356,                   0,            0.003119,            0.003119,            0.003119
                  78,            0.074726,            0.012437,                   0,             0.19247,            0.098361,             0.07292,            0.022097,            0.076735,            0.010496,                   0,           0.0030943,           0.0030943,           0.0030943
                  79,            0.074105,            0.012807,                   0,             0.22124,             0.10929,            0.093183,            0.026799,             0.07689,            0.010657,                   0,           0.0030695,           0.0030695,           0.0030695
                  80,            0.075325,            0.012292,                   0,             0.37883,             0.20765,             0.21245,            0.057195,            0.071978,           0.0098449,                   0,           0.0030448,           0.0030448,           0.0030448
                  81,            0.075123,            0.012241,                   0,              0.3452,             0.23497,             0.20518,            0.052499,            0.069975,            0.010075,                   0,             0.00302,             0.00302,             0.00302
                  82,            0.074364,             0.01207,                   0,             0.47228,             0.23497,             0.23113,             0.06261,            0.072185,           0.0094132,                   0,           0.0029953,           0.0029953,           0.0029953
                  83,            0.073497,            0.012654,                   0,             0.28021,             0.13115,             0.11985,            0.035975,            0.077084,           0.0097381,                   0,           0.0029705,           0.0029705,           0.0029705
                  84,            0.075318,            0.012395,                   0,             0.17706,             0.13115,            0.076501,            0.020673,            0.075451,            0.010689,                   0,           0.0029458,           0.0029458,           0.0029458
                  85,            0.073722,            0.012327,                   0,             0.19468,              0.2459,             0.11307,            0.026713,            0.075574,            0.011634,                   0,            0.002921,            0.002921,            0.002921
                  86,            0.072023,            0.012723,                   0,             0.28918,             0.23497,             0.15944,            0.048927,            0.072115,            0.010037,                   0,           0.0028962,           0.0028962,           0.0028962
                  87,            0.075327,            0.012867,                   0,             0.37201,             0.20394,             0.20814,            0.060958,            0.070976,           0.0097733,                   0,           0.0028715,           0.0028715,           0.0028715
                  88,            0.073683,            0.012863,                   0,             0.39774,             0.21311,             0.20511,            0.064588,            0.069381,           0.0097283,                   0,           0.0028467,           0.0028467,           0.0028467
                  89,            0.071908,            0.012465,                   0,             0.34183,             0.20765,             0.20968,            0.063819,            0.069812,           0.0094964,                   0,            0.002822,            0.002822,            0.002822
                  90,            0.070992,            0.013316,                   0,             0.42342,             0.23497,             0.22792,            0.065353,            0.069105,           0.0095623,                   0,           0.0027972,           0.0027972,           0.0027972
                  91,            0.073851,            0.012614,                   0,             0.52085,             0.27324,             0.26835,            0.080152,            0.067632,           0.0095107,                   0,           0.0027725,           0.0027725,           0.0027725
                  92,            0.071308,             0.01245,                   0,             0.50182,             0.21858,             0.24395,            0.072455,            0.069574,           0.0094813,                   0,           0.0027477,           0.0027477,           0.0027477
                  93,            0.072227,            0.011843,                   0,              0.3183,             0.19672,             0.16942,            0.052662,            0.073242,            0.011168,                   0,            0.002723,            0.002723,            0.002723
                  94,            0.071622,            0.012296,                   0,             0.31025,              0.2459,             0.22273,             0.06348,            0.071324,           0.0096678,                   0,           0.0026982,           0.0026982,           0.0026982
                  95,            0.070609,            0.012455,                   0,             0.40979,              0.2459,             0.25231,            0.076714,            0.072079,           0.0094368,                   0,           0.0026735,           0.0026735,           0.0026735
                  96,            0.072452,            0.011343,                   0,             0.43171,             0.24044,             0.24144,            0.070085,            0.070999,           0.0095757,                   0,           0.0026488,           0.0026488,           0.0026488
                  97,            0.071966,             0.01235,                   0,             0.40518,              0.2623,             0.25492,            0.079639,            0.069947,           0.0095085,                   0,            0.002624,            0.002624,            0.002624
                  98,            0.071288,            0.011903,                   0,             0.40203,             0.23497,             0.25827,             0.08454,            0.068374,           0.0093518,                   0,           0.0025993,           0.0025993,           0.0025993
                  99,            0.071678,            0.012326,                   0,             0.54358,             0.25137,             0.24889,            0.080976,            0.067311,           0.0095601,                   0,           0.0025745,           0.0025745,           0.0025745
                 100,            0.070419,             0.01205,                   0,             0.30224,             0.24044,              0.1646,            0.044661,            0.072541,           0.0098249,                   0,           0.0025497,           0.0025497,           0.0025497
                 101,             0.07057,            0.012032,                   0,               0.228,              0.2623,             0.14518,            0.042788,            0.072384,            0.011204,                   0,            0.002525,            0.002525,            0.002525
                 102,            0.070557,            0.012406,                   0,             0.38726,             0.30055,             0.25221,            0.088482,            0.068764,           0.0093754,                   0,           0.0025002,           0.0025002,           0.0025002
                 103,            0.070148,            0.012708,                   0,              0.5511,             0.25137,             0.31239,            0.098909,            0.066879,           0.0093723,                   0,           0.0024755,           0.0024755,           0.0024755
                 104,            0.068988,            0.012982,                   0,             0.41184,             0.22404,              0.2268,            0.072905,            0.069352,           0.0094252,                   0,           0.0024507,           0.0024507,           0.0024507
                 105,            0.068974,            0.011913,                   0,             0.42901,             0.25456,             0.22981,            0.078352,             0.06953,           0.0091756,                   0,            0.002426,            0.002426,            0.002426
                 106,            0.072202,            0.012366,                   0,             0.32805,             0.27869,             0.25304,            0.083273,            0.068613,           0.0092877,                   0,           0.0024013,           0.0024013,           0.0024013
                 107,            0.068832,            0.011765,                   0,             0.42594,             0.27322,             0.26224,            0.079801,            0.067915,           0.0094506,                   0,           0.0023765,           0.0023765,           0.0023765
                 108,            0.069113,            0.012236,                   0,             0.56134,             0.27869,             0.31984,             0.10274,            0.066949,            0.009528,                   0,           0.0023518,           0.0023518,           0.0023518
                 109,            0.068833,            0.011447,                   0,             0.63235,             0.25379,             0.31323,             0.11347,            0.068107,           0.0091395,                   0,            0.002327,            0.002327,            0.002327
                 110,            0.068783,            0.012603,                   0,              0.2513,             0.21858,             0.14736,             0.04111,            0.073118,           0.0096958,                   0,           0.0023023,           0.0023023,           0.0023023
                 111,            0.068039,            0.012021,                   0,             0.33987,             0.30601,             0.25367,             0.07751,            0.069028,            0.009634,                   0,           0.0022775,           0.0022775,           0.0022775
                 112,            0.069215,            0.011947,                   0,             0.15163,             0.21311,             0.10529,            0.032305,             0.07438,            0.012087,                   0,           0.0022527,           0.0022527,           0.0022527
                 113,             0.06889,            0.012435,                   0,             0.44384,              0.2459,             0.25618,            0.072648,            0.072527,           0.0091453,                   0,            0.002228,            0.002228,            0.002228
                 114,             0.06877,            0.011676,                   0,             0.26953,             0.22951,             0.16394,            0.052895,             0.07133,             0.01034,                   0,           0.0022033,           0.0022033,           0.0022033
                 115,            0.067226,            0.012088,                   0,             0.53793,             0.19672,             0.22265,            0.073985,            0.068384,            0.010543,                   0,           0.0021785,           0.0021785,           0.0021785
                 116,            0.069389,             0.01222,                   0,             0.35945,             0.26776,             0.24422,            0.074581,            0.068928,            0.010011,                   0,           0.0021538,           0.0021538,           0.0021538
                 117,            0.067908,            0.012553,                   0,             0.44271,             0.22575,             0.24817,            0.069864,            0.071879,           0.0091181,                   0,            0.002129,            0.002129,            0.002129
                 118,            0.065691,            0.011365,                   0,             0.39761,             0.31148,             0.31793,             0.10387,            0.066126,           0.0093812,                   0,           0.0021043,           0.0021043,           0.0021043
                 119,            0.068443,            0.011989,                   0,             0.52197,             0.27322,             0.30764,            0.099567,             0.07005,           0.0092659,                   0,           0.0020795,           0.0020795,           0.0020795
                 120,            0.067735,            0.011887,                   0,             0.53291,             0.33333,             0.35372,             0.11859,             0.06613,           0.0090136,                   0,           0.0020548,           0.0020548,           0.0020548
                 121,            0.067729,            0.011888,                   0,              0.6738,             0.20765,             0.27693,            0.078454,            0.066927,           0.0092241,                   0,             0.00203,             0.00203,             0.00203
                 122,            0.067424,            0.011827,                   0,             0.48688,             0.32787,              0.3012,            0.093119,            0.067417,           0.0093723,                   0,           0.0020053,           0.0020053,           0.0020053
                 123,            0.065503,            0.012297,                   0,             0.48453,              0.2459,             0.28593,            0.079938,            0.067396,           0.0095449,                   0,           0.0019805,           0.0019805,           0.0019805
                 124,             0.06496,            0.012277,                   0,             0.50718,             0.29508,              0.3102,             0.10153,            0.068737,           0.0092548,                   0,           0.0019558,           0.0019558,           0.0019558
                 125,            0.064868,             0.01191,                   0,             0.44887,             0.37158,             0.33952,             0.11451,            0.066617,           0.0089446,                   0,            0.001931,            0.001931,            0.001931
                 126,            0.065949,            0.012436,                   0,             0.36286,              0.2459,             0.22463,            0.083115,            0.068915,            0.010448,                   0,           0.0019062,           0.0019062,           0.0019062
                 127,            0.064504,            0.012172,                   0,             0.55809,             0.25683,              0.2953,            0.090025,             0.06781,           0.0092236,                   0,           0.0018815,           0.0018815,           0.0018815
                 128,             0.06473,             0.01158,                   0,             0.53776,             0.27869,             0.30385,            0.091987,            0.067222,            0.008735,                   0,           0.0018568,           0.0018568,           0.0018568
                 129,            0.067968,            0.012415,                   0,             0.46818,             0.32712,             0.32673,            0.088955,            0.067491,           0.0088102,                   0,            0.001832,            0.001832,            0.001832
                 130,            0.065491,            0.011569,                   0,             0.56892,              0.3224,             0.34652,             0.11006,            0.065128,           0.0086731,                   0,           0.0018073,           0.0018073,           0.0018073
                 131,              0.0671,            0.011831,                   0,             0.40767,             0.30087,             0.29149,            0.093714,            0.068793,           0.0092089,                   0,           0.0017825,           0.0017825,           0.0017825
                 132,            0.064834,            0.011333,                   0,             0.53915,              0.3224,             0.37023,             0.11528,            0.066971,           0.0087174,                   0,           0.0017577,           0.0017577,           0.0017577
                 133,            0.065679,            0.011099,                   0,             0.46044,             0.34508,             0.35087,             0.10267,            0.065582,           0.0087494,                   0,            0.001733,            0.001733,            0.001733
                 134,            0.065764,            0.011537,                   0,             0.49673,              0.3224,              0.3498,             0.11704,             0.06503,           0.0087327,                   0,           0.0017082,           0.0017082,           0.0017082
                 135,            0.066108,            0.011975,                   0,             0.45888,             0.35519,             0.31596,             0.10582,            0.066639,           0.0099263,                   0,           0.0016835,           0.0016835,           0.0016835
                 136,            0.065403,            0.011928,                   0,             0.51858,             0.30601,             0.31339,            0.090739,            0.066308,           0.0090861,                   0,           0.0016588,           0.0016588,           0.0016588
                 137,            0.065873,            0.012376,                   0,             0.56258,             0.27869,             0.29343,            0.090481,             0.06759,           0.0091462,                   0,            0.001634,            0.001634,            0.001634
                 138,            0.065344,            0.011853,                   0,             0.42787,             0.32787,             0.30486,            0.088639,            0.069321,           0.0089557,                   0,           0.0016092,           0.0016092,           0.0016092
                 139,            0.064365,            0.011227,                   0,              0.4657,             0.25137,             0.26442,            0.086469,            0.071599,           0.0089962,                   0,           0.0015845,           0.0015845,           0.0015845
                 140,             0.06544,            0.011399,                   0,             0.45839,             0.27322,             0.26655,            0.079888,            0.069167,           0.0094533,                   0,           0.0015598,           0.0015598,           0.0015598
                 141,            0.063632,            0.011008,                   0,             0.43983,             0.31694,             0.34044,             0.11075,            0.068361,           0.0092459,                   0,            0.001535,            0.001535,            0.001535
                 142,            0.064461,            0.011365,                   0,             0.43555,             0.30055,             0.26966,            0.084997,            0.069391,           0.0094842,                   0,           0.0015103,           0.0015103,           0.0015103
                 143,            0.063001,            0.011761,                   0,             0.47541,             0.29508,             0.30912,            0.099843,            0.068331,           0.0095516,                   0,           0.0014855,           0.0014855,           0.0014855
                 144,            0.063769,            0.011589,                   0,             0.50709,             0.34426,             0.33658,             0.10423,            0.069531,           0.0090305,                   0,           0.0014608,           0.0014608,           0.0014608
                 145,            0.065384,            0.011337,                   0,             0.43507,             0.26935,             0.25328,            0.076199,            0.070998,           0.0090514,                   0,            0.001436,            0.001436,            0.001436
                 146,            0.065229,            0.011591,                   0,             0.59025,             0.27322,             0.30045,             0.10406,            0.071632,           0.0089081,                   0,           0.0014112,           0.0014112,           0.0014112
                 147,            0.065287,             0.01144,                   0,             0.45384,             0.34964,             0.33522,              0.1065,            0.067644,            0.008666,                   0,           0.0013865,           0.0013865,           0.0013865
                 148,            0.063306,            0.011905,                   0,             0.37362,             0.37157,             0.30233,            0.098599,            0.066758,            0.011481,                   0,           0.0013618,           0.0013618,           0.0013618
                 149,            0.063367,            0.011236,                   0,             0.48994,             0.32787,              0.3288,               0.113,            0.066498,           0.0087545,                   0,            0.001337,            0.001337,            0.001337
                 150,            0.064303,            0.011656,                   0,             0.47673,              0.3388,             0.30541,             0.10004,            0.065219,           0.0089517,                   0,           0.0013123,           0.0013123,           0.0013123
                 151,            0.063086,            0.011861,                   0,             0.55589,             0.33333,             0.36515,             0.11713,            0.064992,           0.0087594,                   0,           0.0012875,           0.0012875,           0.0012875
                 152,            0.062994,            0.011221,                   0,              0.5243,             0.30716,             0.34028,             0.11133,             0.06638,           0.0086277,                   0,           0.0012627,           0.0012627,           0.0012627
                 153,            0.064239,            0.011016,                   0,             0.44097,             0.33333,             0.33302,             0.10722,            0.065189,           0.0089415,                   0,            0.001238,            0.001238,            0.001238
                 154,            0.063332,            0.011232,                   0,             0.55359,             0.34426,             0.35628,             0.10169,            0.066429,           0.0085954,                   0,           0.0012133,           0.0012133,           0.0012133
                 155,            0.063412,            0.011872,                   0,             0.40947,             0.27869,              0.2523,            0.080346,            0.072352,           0.0090002,                   0,           0.0011885,           0.0011885,           0.0011885
                 156,              0.0622,            0.011797,                   0,             0.55727,             0.30601,             0.33927,             0.12557,            0.066713,           0.0092797,                   0,           0.0011637,           0.0011637,           0.0011637
                 157,            0.063467,            0.011216,                   0,             0.54339,             0.22951,              0.2408,            0.072768,            0.073807,           0.0094448,                   0,            0.001139,            0.001139,            0.001139
                 158,            0.060136,            0.010925,                   0,             0.45543,             0.30601,             0.31461,             0.09754,            0.067734,           0.0091043,                   0,           0.0011142,           0.0011142,           0.0011142
                 159,            0.061194,            0.010915,                   0,             0.47021,             0.32981,             0.33271,             0.10708,            0.065143,           0.0087648,                   0,           0.0010895,           0.0010895,           0.0010895
                 160,             0.06264,            0.011847,                   0,             0.54282,              0.3388,             0.36818,             0.12398,            0.064987,           0.0092303,                   0,           0.0010647,           0.0010647,           0.0010647
                 161,            0.063593,            0.010985,                   0,              0.5261,             0.27322,             0.28835,            0.094393,            0.068934,           0.0088925,                   0,             0.00104,             0.00104,             0.00104
                 162,            0.061363,            0.010637,                   0,               0.482,             0.34973,             0.34607,             0.11522,            0.068174,           0.0087118,                   0,           0.0010152,           0.0010152,           0.0010152
                 163,            0.062302,            0.011755,                   0,             0.50867,             0.39344,             0.37292,              0.1184,            0.065314,           0.0088676,                   0,           0.0009905,           0.0009905,           0.0009905
                 164,            0.060853,            0.011308,                   0,             0.49691,             0.35519,             0.34308,             0.11329,            0.067755,           0.0087016,                   0,          0.00096575,          0.00096575,          0.00096575
                 165,             0.06029,            0.011098,                   0,             0.46457,             0.37158,             0.34354,             0.11164,            0.066204,           0.0092557,                   0,            0.000941,            0.000941,            0.000941
                 166,            0.061436,            0.011088,                   0,             0.53771,             0.37158,             0.36033,              0.1326,            0.065597,            0.009593,                   0,          0.00091625,          0.00091625,          0.00091625
                 167,            0.061493,            0.011606,                   0,             0.54464,              0.3388,              0.3587,             0.12161,            0.065711,           0.0086406,                   0,           0.0008915,           0.0008915,           0.0008915
