epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
36,2452.93,1.49786,1.05134,1.08377,0.01463,0.74835,0.56824,0.60499,0.25615,1.99029,1.35228,1.34993,0,0.00463528,0.00463528,0.00463528,0.000463528
37,2516.57,1.5121,1.056,1.07853,0.01458,0.74968,0.57219,0.6089,0.25945,1.9361,1.32857,1.33298,0,0.00461471,0.00461471,0.00461471,0.000461471
38,2580.61,1.4915,1.05745,1.07641,0.0145,0.7446,0.58494,0.61964,0.25626,1.98272,1.32994,1.33846,0,0.00459362,0.00459362,0.00459362,0.000459362
39,2645.03,1.49788,1.04479,1.08629,0.01448,0.7424,0.57325,0.59274,0.25534,1.96277,1.34278,1.33837,0,0.00457202,0.00457202,0.00457202,0.000457202
40,2709.56,1.48078,1.04104,1.0766,0.01441,0.75002,0.58811,0.63345,0.26968,1.91307,1.33273,1.31732,0,0.00454992,0.00454992,0.00454992,0.000454992
41,2774.47,1.46935,1.02657,1.06819,0.01437,0.76605,0.59441,0.64405,0.27973,1.94414,1.30575,1.33227,0,0.00452732,0.00452732,0.00452732,0.000452732
42,2839.46,1.46584,1.00459,1.0666,0.01431,0.79726,0.54459,0.62449,0.2689,1.94819,1.35837,1.33033,0,0.00450422,0.00450422,0.00450422,0.000450422
43,2902.22,1.47725,1.02214,1.07329,0.01425,0.73252,0.57853,0.6223,0.26092,1.95935,1.45727,1.33532,0,0.00448063,0.00448063,0.00448063,0.000448063
44,2968.94,1.47342,1.01635,1.07141,0.01416,0.78687,0.56582,0.63679,0.27261,1.97025,1.33,1.35001,0,0.00445657,0.00445657,0.00445657,0.000445657
45,3033.81,1.4588,1.01008,1.06683,0.01415,0.75395,0.58227,0.63807,0.26411,1.96939,1.34407,1.34597,0,0.00443202,0.00443202,0.00443202,0.000443202
46,3095.65,1.45984,1.00737,1.06873,0.01406,0.768,0.58811,0.63787,0.26906,1.95404,1.28312,1.32741,0,0.004407,0.004407,0.004407,0.0004407
47,3158.94,1.44578,0.97998,1.06522,0.014,0.76661,0.59873,0.63817,0.27553,1.92627,1.30176,1.31943,0,0.00438152,0.00438152,0.00438152,0.000438152
48,3222,1.44384,0.98019,1.06162,0.01389,0.74564,0.61616,0.63974,0.27742,1.96002,1.27588,1.34617,0,0.00435559,0.00435559,0.00435559,0.000435559
49,3286.21,1.43168,0.96995,1.05408,0.01386,0.72717,0.6055,0.62875,0.2733,1.93219,1.30292,1.33003,0,0.0043292,0.0043292,0.0043292,0.00043292
50,3352.74,1.44308,0.98046,1.05697,0.01376,0.76004,0.60185,0.63999,0.27553,1.95099,1.35577,1.34972,0,0.00430236,0.00430236,0.00430236,0.000430236
51,3418.35,1.44169,0.96931,1.06472,0.01373,0.74644,0.62191,0.64417,0.27866,1.95448,1.28582,1.33322,0,0.00427509,0.00427509,0.00427509,0.000427509
52,3480.85,1.44027,0.96893,1.06183,0.01364,0.76983,0.6036,0.64693,0.2701,1.9459,1.30649,1.3398,0,0.00424738,0.00424738,0.00424738,0.000424738
53,3543.76,1.41893,0.95773,1.05195,0.01356,0.74632,0.61837,0.64035,0.27416,1.93784,1.30675,1.32885,0,0.00421925,0.00421925,0.00421925,0.000421925
54,3606.56,1.42462,0.95303,1.05565,0.0135,0.77396,0.62102,0.66234,0.28576,1.91904,1.25663,1.30673,0,0.00419071,0.00419071,0.00419071,0.000419071
