epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
37,159.348,2.92305,2.93286,2.07794,0.01567,0.23604,0.10383,0.08093,0.0273,2.98838,3.03298,2.31213,0,0.00461471,0.00461471,0.00461471,0.000461471
38,163.209,3.05638,2.91528,2.06723,0.01571,0.26347,0.09836,0.06669,0.01617,3.21978,3.23498,2.38174,0,0.00459362,0.00459362,0.00459362,0.000459362
39,166.795,2.91825,2.97798,2.09743,0.01554,0.25494,0.13661,0.08843,0.02967,3.10707,3.02834,2.35491,0,0.00457202,0.00457202,0.00457202,0.000457202
40,169.635,2.98605,2.9482,2.09508,0.0155,0.31359,0.13115,0.1037,0.03114,3.04498,3.11802,2.32504,0,0.00454992,0.00454992,0.00454992,0.000454992
41,174.062,2.92172,2.91867,2.12332,0.01534,0.28343,0.13115,0.12257,0.0364,2.93071,2.93309,2.27681,0,0.00452732,0.00452732,0.00452732,0.000452732
42,177.879,2.94887,2.93712,2.12061,0.01536,0.31398,0.15847,0.12093,0.04038,2.8899,2.89458,2.21261,0,0.00450422,0.00450422,0.00450422,0.000450422
43,181.429,2.89525,2.89556,2.05974,0.01525,0.21356,0.15301,0.0877,0.03052,2.85796,3.123,2.19348,0,0.00448063,0.00448063,0.00448063,0.000448063
44,184.989,2.86954,2.77096,2.03223,0.01531,0.32071,0.09836,0.09534,0.03459,2.88823,3.07579,2.16769,0,0.00445657,0.00445657,0.00445657,0.000445657
45,188.725,2.83748,2.79162,2.04318,0.01522,0.28343,0.13661,0.1016,0.03101,2.81388,2.92995,2.17952,0,0.00443202,0.00443202,0.00443202,0.000443202
46,192.293,2.8193,2.78741,2.01643,0.01506,0.31122,0.12568,0.10875,0.03451,2.94275,2.96369,2.20377,0,0.004407,0.004407,0.004407,0.0004407
47,196.035,2.87559,2.81707,2.07059,0.01499,0.32151,0.14754,0.12463,0.04104,2.89452,2.87546,2.22175,0,0.00438152,0.00438152,0.00438152,0.000438152
48,199.639,2.7788,2.71114,2.00832,0.01502,0.22054,0.13661,0.09013,0.02451,3.08525,2.89312,2.37376,0,0.00435559,0.00435559,0.00435559,0.000435559
49,202.697,2.8219,2.77627,2.03339,0.01489,0.2977,0.15301,0.12135,0.03287,2.94249,2.8973,2.25996,0,0.0043292,0.0043292,0.0043292,0.00043292
50,206.276,2.80255,2.69901,2.00956,0.01478,0.24637,0.14754,0.1219,0.04294,2.87544,2.85589,2.21176,0,0.00430236,0.00430236,0.00430236,0.000430236
51,210.557,2.75432,2.701,2.01269,0.01475,0.15938,0.12022,0.08387,0.02461,3.00771,3.05342,2.32699,0,0.00427509,0.00427509,0.00427509,0.000427509
52,214.48,2.72323,2.75441,1.98635,0.01465,0.20776,0.18056,0.09774,0.02999,2.84353,3.23195,2.2042,0,0.00424738,0.00424738,0.00424738,0.000424738
53,218.147,2.72364,2.71178,1.97614,0.01458,0.25418,0.1694,0.11964,0.03816,2.86664,2.8586,2.18263,0,0.00421925,0.00421925,0.00421925,0.000421925
54,221.722,2.7389,2.70316,1.90813,0.01444,0.22812,0.18033,0.09819,0.03229,2.85186,2.95191,2.25054,0,0.00419071,0.00419071,0.00419071,0.000419071
55,225.26,2.75329,2.71806,2.0117,0.01438,0.26052,0.13661,0.1202,0.03927,2.952,2.78299,2.27513,0,0.00416175,0.00416175,0.00416175,0.000416175
56,228.823,2.6975,2.63429,1.97937,0.01433,0.26366,0.14676,0.12887,0.03605,3.00838,2.87534,2.2533,0,0.00413238,0.00413238,0.00413238,0.000413238
