epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,25.8057,5.36869,9.83526,4.19741,0,0,0,0,0,5.37578,4.77642,4.14056,0,0.08765,0.00065,0.00065,6.5e-05
2,28.6202,4.8634,5.86194,4.13716,0,0,0,0,0,5.25034,4.57049,4.01158,0,0.0743499,0.00134992,0.00134992,0.000134992
3,32.0121,5.06283,4.97346,3.9664,0,0,0,0,0,5.07933,4.11001,3.82202,0,0.0610495,0.0020495,0.0020495,0.00020495
4,34.436,4.73142,4.64911,3.61731,0,0,0,0,0,4.92202,4.03611,3.66838,0,0.0477485,0.00274849,0.00274849,0.000274849
5,36.7518,4.45909,4.4543,3.44347,0,0,0,0,0,4.86119,3.99499,3.60887,0,0.0344466,0.00344663,0.00344663,0.000344663
6,39.0176,4.16725,4.20562,3.26607,0,0,0,0,0,4.82457,3.97844,3.54957,0,0.0211437,0.00414367,0.00414367,0.000414367
7,40.9448,3.96078,4.03994,3.02598,0,0,0,0,0,4.47562,3.95467,3.36365,0,0.00783935,0.00483935,0.00483935,0.000483935
8,43.3366,3.78402,3.92078,2.89781,0,0,0,0,0,4.28863,3.97354,3.30545,0,0.00498505,0.00498505,0.00498505,0.000498505
9,45.8127,3.64084,3.75527,2.75871,0,0.00383,0.07104,0.00225,0.00064,3.73985,3.95388,3.08736,0,0.00498048,0.00498048,0.00498048,0.000498048
10,48.058,3.43189,3.72019,2.72488,0,0.01007,0.06011,0.00609,0.00142,3.47831,3.76371,2.87526,0,0.00497531,0.00497531,0.00497531,0.000497531
11,51.077,3.47043,3.61942,2.57861,0,0.05322,0.04918,0.01317,0.0035,3.37253,4.02012,2.86529,0,0.00496953,0.00496953,0.00496953,0.000496953
12,53.5622,3.33775,3.4749,2.49311,0,0.04997,0.02186,0.01418,0.00448,3.2026,3.52482,2.58366,0,0.00496315,0.00496315,0.00496315,0.000496315
13,56.094,3.28822,3.43388,2.44651,0,0.0176,0.03279,0.00677,0.0022,3.18425,6.17016,2.61617,0,0.00495616,0.00495616,0.00495616,0.000495616
14,58.5495,3.30987,3.41398,2.4045,0,0.06455,0.04372,0.01936,0.00558,3.21333,4.21992,2.56029,0,0.00494858,0.00494858,0.00494858,0.000494858
15,61.1029,3.34318,3.33158,2.45159,0,0.05263,0.05464,0.01405,0.00464,3.19822,5.48555,2.52429,0,0.00494039,0.00494039,0.00494039,0.000494039
16,63.4739,3.26381,3.33411,2.41845,0,0.00046,0.0929,0.00032,7e-05,4.08808,4.61456,3.36625,0,0.00493162,0.00493162,0.00493162,0.000493162
17,65.8506,3.24177,3.32776,2.40334,0,0.00306,0.03825,0.00103,0.00021,3.83476,4.97912,3.06918,0,0.00492224,0.00492224,0.00492224,0.000492224
18,68.2281,3.19636,3.21305,2.2744,0,0.05662,0.03279,0.01037,0.00191,3.49419,4.48843,2.79391,0,0.00491228,0.00491228,0.00491228,0.000491228
19,70.5285,3.15303,3.24058,2.30903,0,0.26343,0.04918,0.06151,0.01332,3.26689,3.56545,2.53192,0,0.00490173,0.00490173,0.00490173,0.000490173
20,72.3529,3.10651,3.14608,2.297,0,0.20633,0.12568,0.07695,0.01882,3.11651,4.43855,2.44948,0,0.00489059,0.00489059,0.00489059,0.000489059
21,75.366,3.1064,3.10762,2.28886,0,0.14385,0.0929,0.04453,0.0147,3.09546,3.77706,2.46293,0,0.00487886,0.00487886,0.00487886,0.000487886
22,77.8049,3.04162,3.09039,2.25481,0,0.15655,0.10929,0.0589,0.01847,3.05919,3.25775,2.4042,0,0.00486656,0.00486656,0.00486656,0.000486656
23,80.2134,3.09143,3.08294,2.25072,0,0.20568,0.0929,0.06735,0.02081,3.00256,3.3036,2.34629,0,0.00485368,0.00485368,0.00485368,0.000485368
24,82.5968,3.09873,3.02462,2.2469,0,0.16908,0.00546,0.03707,0.01015,3.36109,3.56712,2.56479,0,0.00484022,0.00484022,0.00484022,0.000484022
25,85.0851,3.03163,3.03998,2.19427,0,0.25502,0.03184,0.04601,0.0145,3.2319,3.38007,2.42082,0,0.0048262,0.0048262,0.0048262,0.00048262
26,87.4756,2.99882,2.94598,2.16177,0,0.19145,0.08197,0.06909,0.02051,2.99014,3.17328,2.31057,0,0.0048116,0.0048116,0.0048116,0.00048116
27,89.7607,2.84207,2.91563,2.09016,0,0.29933,0.13115,0.11915,0.03472,2.92958,3.23283,2.31033,0,0.00479644,0.00479644,0.00479644,0.000479644
28,92.2942,2.90543,2.80054,2.11233,0,0.21319,0.0765,0.06433,0.01637,3.04113,3.18065,2.44419,0,0.00478072,0.00478072,0.00478072,0.000478072
29,94.8918,2.89273,2.82283,2.09772,0,0.3393,0.11475,0.10091,0.03234,2.98397,2.96863,2.29527,0,0.00476445,0.00476445,0.00476445,0.000476445
30,97.4836,2.86578,2.79336,2.09766,0,0.07867,0.07104,0.01693,0.00468,3.00694,3.72184,2.32922,0,0.00474762,0.00474762,0.00474762,0.000474762
31,100.7,2.92438,2.88723,2.08416,0,0.18886,0.14208,0.11091,0.03416,2.89562,3.61864,2.2877,0,0.00473024,0.00473024,0.00473024,0.000473024
32,102.709,2.85959,2.78266,2.03026,0,0.02911,0.04918,0.00737,0.00216,3.16229,4.57256,2.4214,0,0.00471232,0.00471232,0.00471232,0.000471232
33,105.258,2.75826,2.73944,2.00988,0,0.13956,0.10383,0.04346,0.01114,2.94495,4.09058,2.29803,0,0.00469386,0.00469386,0.00469386,0.000469386
34,107.866,2.86289,2.75781,1.96239,0,0.31878,0.13661,0.11532,0.04077,2.8625,3.02998,2.1873,0,0.00467486,0.00467486,0.00467486,0.000467486
