epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
36,1756.42,1.47822,1.00422,1.07785,0.01169,0.75939,0.59636,0.62973,0.26741,1.9249,1.32841,1.31265,0,0.00463528,0.00463528,0.00463528,0.000463528
37,1806.73,1.49274,1.02105,1.07389,0.01166,0.72907,0.53609,0.56453,0.23726,2.00279,1.43684,1.35133,0,0.00461471,0.00461471,0.00461471,0.000461471
38,1853.91,1.47617,1.02508,1.07269,0.01157,0.76013,0.55169,0.59967,0.25884,1.94895,1.36646,1.32828,0,0.00459362,0.00459362,0.00459362,0.000459362
39,1902.83,1.46825,1.00554,1.07764,0.01155,0.7442,0.57643,0.61181,0.25287,1.9474,1.34667,1.31894,0,0.00457202,0.00457202,0.00457202,0.000457202
40,1952.92,1.46423,0.99974,1.07121,0.01146,0.73677,0.60722,0.63574,0.2759,1.90205,1.30657,1.29535,0,0.00454992,0.00454992,0.00454992,0.000454992
41,2002.3,1.44958,0.97465,1.0616,0.01141,0.77021,0.58068,0.62725,0.27306,1.92375,1.3489,1.30993,0,0.00452732,0.00452732,0.00452732,0.000452732
42,2051.1,1.44634,0.96131,1.06133,0.01137,0.75343,0.53715,0.60074,0.25601,1.93144,1.37703,1.32074,0,0.00450422,0.00450422,0.00450422,0.000450422
43,2101.56,1.45693,0.97526,1.06742,0.01134,0.70271,0.56794,0.6004,0.25285,1.94705,1.37168,1.32462,0,0.00448063,0.00448063,0.00448063,0.000448063
44,2151.42,1.45171,0.97727,1.06509,0.01131,0.72986,0.57325,0.60914,0.2542,1.99314,1.36007,1.34224,0,0.00445657,0.00445657,0.00445657,0.000445657
45,2199.97,1.45142,0.96632,1.06333,0.01129,0.73315,0.55096,0.60016,0.25725,1.96765,1.38556,1.3333,0,0.00443202,0.00443202,0.00443202,0.000443202
46,2248.49,1.43677,0.96689,1.06352,0.01121,0.76776,0.55451,0.60658,0.25707,1.97639,1.40134,1.32747,0,0.004407,0.004407,0.004407,0.0004407
47,2297.4,1.42712,0.94627,1.05976,0.01116,0.75919,0.58917,0.62082,0.26458,1.9724,1.29535,1.32195,0,0.00438152,0.00438152,0.00438152,0.000438152
48,2346.74,1.42778,0.94388,1.05538,0.0111,0.70851,0.55945,0.5959,0.25324,1.97737,1.41538,1.32973,0,0.00435559,0.00435559,0.00435559,0.000435559
49,2395.4,1.41288,0.93535,1.04893,0.01106,0.75034,0.58387,0.62818,0.27387,1.96634,1.33293,1.33785,0,0.0043292,0.0043292,0.0043292,0.00043292
50,2444.73,1.42841,0.93676,1.05377,0.01096,0.77015,0.58493,0.63019,0.27509,1.93948,1.28666,1.32327,0,0.00430236,0.00430236,0.00430236,0.000430236
51,2499.88,1.41818,0.92175,1.05562,0.01097,0.74033,0.58386,0.6211,0.27165,1.97093,1.30269,1.33428,0,0.00427509,0.00427509,0.00427509,0.000427509
52,2546.97,1.41294,0.9196,1.05335,0.01089,0.74963,0.61571,0.64163,0.27791,1.94537,1.2563,1.32323,0,0.00424738,0.00424738,0.00424738,0.000424738
53,2594.96,1.39922,0.91626,1.04352,0.01083,0.74317,0.58056,0.59788,0.25818,1.96961,1.36087,1.339,0,0.00421925,0.00421925,0.00421925,0.000421925
54,2644.71,1.39679,0.91191,1.04645,0.01075,0.70922,0.6189,0.63794,0.28106,1.90019,1.25495,1.30883,0,0.00419071,0.00419071,0.00419071,0.000419071
55,2693.08,1.39903,0.90557,1.04365,0.01072,0.74787,0.59827,0.64004,0.27308,1.9351,1.28024,1.3169,0,0.00416175,0.00416175,0.00416175,0.000416175
